Code,Name,Type,Internal,External,Back Paper,Grade
KAS402,Maths IV,Theory,31,33,--,E
KVE401,Universal Human Values,Theory,36,54,--,B
KCS401,Operating Systems,Theory,33,45,--,C
KCS402,Theory of Automata and Formal Languages,Theory,33,37,--,D
KCS403,Microprocessor,Theory,30,47,--,C
KCS451,Operating Systems Lab,Practical,22,24,--,A+
KCS452,Microprocessor Lab,Practical,20,23,--,A
KCS453,Python Language Programming Lab,Practical,21,25,--,A+
KNC402,Python Programming,CA,21,32,--,
