Code,Name,Type,Internal,External,Back Paper,Grade
KOE038,Electronics Engineering,Theory,39,57,--,B
KAS301,Technical Communication,Theory,42,49,--,B
KCS301,Data Structure,Theory,36,34,--,D
KCS302,Computer Organization and Architecture,Theory,34,32,--,E
KCS303,Discrete Structures & Theory of Logic,Theory,36,25,--,E#
KCS351,Data Structures Using C Lab,Practical,22,22,--,A
KCS352,Computer Organization Lab,Practical,21,22,--,A
KCS353,Discrete Structure & Logic Lab,Practical,20,22,--,A
KCS354,Mini Project or Internship Assessmen,Practical,41,,--,A
KNC301,Computer System Security,CA,20,18,--,
