Code,Name,Type,Internal,External,Back Paper,Grade
KAS102T,Engineering Chemistry,Theory,39,53,--,B
KAS103T,Engineering Mathematics-I,Theory,41,52,--,B
KEC101T,Emerging Domain in Electronics Engineering,Theory,43,47,--,B
KCS101T,Programming for Problem Solving,Theory,35,36,--,D
KMC102,Emerging Technology for Engineering,Theory,25,11,--,B+
KAS152P,Engineering Chemistry Lab,Practical,22,17,--,B+
KEC151P,Electronics Engineering Lab,Practical,20,17,--,B+
KCS151P,Programming for Problem Solving,Practical,24,23,--,A+
KWS151P,Mechanical Workshop Lab,Practical,37,42,--,B+
KNC101,Soft Skill I,CA,18,16,--,
