Code,Name,Type,Internal,External,Back Paper,Grade
KAS201T,Engineering Physics,Theory,42,39,--,C
KAS203T,Engineering Mathematics-II,Theory,31,50,--,C
KEE201T,Basic Electrical Engineering,Theory,25,40,--,E
KME201T,Fundamentals of Mechanical Engineering & Mechatronics,Theory,30,31,--,E
KMC201,AI For Engineering,Theory,18,09,--,C
KAS251P,Engineering Physics Lab,Practical,18,20,--,B+
KEE251P,Basic Electrical Engineering Lab,Practical,17,20,--,B+
KAS254P,English Language Lab,Practical,23,22,--,A+
KCE251P,Engineering Graphics & Design Lab,Practical,42,30,--,B+
KNC201,Soft Skill II,CA,14,05,--,
