Code,Name,Type,Internal,External,Back Paper,Grade
KOE038,Electronics Engineering,Theory,33,69,--,B
KAS301,Technical Communication,Theory,37,72,--,B+
KCS301,Data Structure,Theory,37,73,--,B+
KCS302,Computer Organization and Architecture,Theory,36,57,--,B
KCS303,Discrete Structures & Theory of Logic,Theory,32,48,--,C
KCS351,Data Structures Using C Lab,Practical,22,25,--,A+
KCS352,Computer Organization Lab,Practical,23,21,--,A
KCS353,Discrete Structure & Logic Lab,Practical,22,21,--,A
KCS354,Mini Project or Internship Assessmen,Practical,44,,--,A
KNC301,Computer System Security,CA,22,25,--,
